0_0: gene-MG_RS00005
1_293: gene-HFMG94VAA_RS01590
1_294: gene-HFMG94VAA_RS01595
1_295: gene-HFMG94VAA_RS01600
1_296: gene-HFMG94VAA_RS01605
1_297: gene-HFMG94VAA_RS01610
1_298: gene-HFMG94VAA_RS01615
1_299: gene-HFMG94VAA_RS01620
1_300: gene-HFMG94VAA_RS01625
1_301: gene-HFMG94VAA_RS01630
1_302: gene-HFMG94VAA_RS01635
1_303: gene-HFMG94VAA_RS01640
1_304: gene-HFMG94VAA_RS01645
1_305: gene-HFMG94VAA_RS01650
1_306: gene-HFMG94VAA_RS01655
1_307: gene-HFMG94VAA_RS01660
1_308: gene-HFMG94VAA_RS01665
1_309: gene-HFMG94VAA_RS01670
1_310: gene-HFMG94VAA_RS01675
1_311: gene-HFMG94VAA_RS01680
1_312: gene-HFMG94VAA_RS01685
1_313: gene-HFMG94VAA_RS01690
1_314: gene-HFMG94VAA_RS01695
1_315: gene-HFMG94VAA_RS01700
1_316: gene-HFMG94VAA_RS01705
1_317: gene-HFMG94VAA_RS01710
1_318: gene-HFMG94VAA_RS01715
1_319: gene-HFMG94VAA_RS01720
1_320: gene-HFMG94VAA_RS01725
1_321: gene-HFMG94VAA_RS01730
1_322: gene-HFMG94VAA_RS01745
1_323: gene-HFMG94VAA_RS01750
1_324: gene-HFMG94VAA_RS01755
1_325: gene-HFMG94VAA_RS01760
1_326: gene-HFMG94VAA_RS01765
1_327: gene-HFMG94VAA_RS01770
1_328: gene-HFMG94VAA_RS01780
1_329: gene-HFMG94VAA_RS01785
1_330: gene-HFMG94VAA_RS01790
1_331: gene-HFMG94VAA_RS01795
1_332: gene-HFMG94VAA_RS01800
1_333: gene-HFMG94VAA_RS01805
1_334: gene-HFMG94VAA_RS01810
1_335: gene-HFMG94VAA_RS01815
1_336: gene-HFMG94VAA_RS01820
1_337: gene-HFMG94VAA_RS01825
1_338: gene-HFMG94VAA_RS01830
1_339: gene-HFMG94VAA_RS01835
1_340: gene-HFMG94VAA_RS01840
1_341: gene-HFMG94VAA_RS01845
1_342: gene-HFMG94VAA_RS04180
1_343: gene-HFMG94VAA_RS01855
1_344: gene-HFMG94VAA_RS01860
1_345: gene-HFMG94VAA_RS01865
1_346: gene-HFMG94VAA_RS01870
1_347: gene-HFMG94VAA_RS01875
1_348: gene-HFMG94VAA_RS01880
1_349: gene-HFMG94VAA_RS01885
1_350: gene-HFMG94VAA_RS01890
1_351: gene-HFMG94VAA_RS01895
1_352: gene-HFMG94VAA_RS01900
1_353: gene-HFMG94VAA_RS01905
1_354: gene-HFMG94VAA_RS04010
1_355: gene-HFMG94VAA_RS04355
1_356: gene-HFMG94VAA_RS01925
1_357: gene-HFMG94VAA_RS01935
1_358: gene-HFMG94VAA_RS01940
1_359: gene-HFMG94VAA_RS01945
1_360: gene-HFMG94VAA_RS01950
1_361: gene-HFMG94VAA_RS01955
1_362: gene-HFMG94VAA_RS01960
1_363: gene-HFMG94VAA_RS01965
1_364: gene-HFMG94VAA_RS01970
1_365: gene-HFMG94VAA_RS01975
1_366: gene-HFMG94VAA_RS01980
1_367: gene-HFMG94VAA_RS01985
1_368: gene-HFMG94VAA_RS01990
1_369: gene-HFMG94VAA_RS01995
1_370: gene-HFMG94VAA_RS02000
1_371: gene-HFMG94VAA_RS02005
1_372: gene-HFMG94VAA_RS04020
1_373: gene-HFMG94VAA_RS02020
1_374: gene-HFMG94VAA_RS02025
1_375: gene-HFMG94VAA_RS02030
1_376: gene-HFMG94VAA_RS02035
1_377: gene-HFMG94VAA_RS02040
1_378: gene-HFMG94VAA_RS02045
1_379: gene-HFMG94VAA_RS02050
1_380: gene-HFMG94VAA_RS02055
1_381: gene-HFMG94VAA_RS02060
1_382: gene-HFMG94VAA_RS02065
1_383: gene-HFMG94VAA_RS02070
1_384: gene-HFMG94VAA_RS04220
1_385: gene-HFMG94VAA_RS02080
1_386: gene-HFMG94VAA_RS02085
1_387: gene-HFMG94VAA_RS04305
1_388: gene-HFMG94VAA_RS02095
1_389: gene-HFMG94VAA_RS02100
1_390: gene-HFMG94VAA_RS02105
1_391: gene-HFMG94VAA_RS02110
1_392: gene-HFMG94VAA_RS02115
1_393: gene-HFMG94VAA_RS02120
1_394: gene-HFMG94VAA_RS02125
1_395: gene-HFMG94VAA_RS02130
1_396: gene-HFMG94VAA_RS02135
1_397: gene-HFMG94VAA_RS02140
1_398: gene-HFMG94VAA_RS02145
1_399: gene-HFMG94VAA_RS02150
1_400: gene-HFMG94VAA_RS02155
1_401: gene-HFMG94VAA_RS02160
1_402: gene-HFMG94VAA_RS02165
1_403: gene-HFMG94VAA_RS02170
1_404: gene-HFMG94VAA_RS02175
1_405: gene-HFMG94VAA_RS02180
1_406: gene-HFMG94VAA_RS02185
1_407: gene-HFMG94VAA_RS02190
1_408: gene-HFMG94VAA_RS02195
1_409: gene-HFMG94VAA_RS02200
1_410: gene-HFMG94VAA_RS02205
1_411: gene-HFMG94VAA_RS02210
1_412: gene-HFMG94VAA_RS02215
1_413: gene-HFMG94VAA_RS02220
1_414: gene-HFMG94VAA_RS02225
1_415: gene-HFMG94VAA_RS02230
1_416: gene-HFMG94VAA_RS02235
1_417: gene-HFMG94VAA_RS02240
1_418: gene-HFMG94VAA_RS02245
1_419: gene-HFMG94VAA_RS02250
1_420: gene-HFMG94VAA_RS02255
1_421: gene-HFMG94VAA_RS02260
1_422: gene-HFMG94VAA_RS02265
1_423: gene-HFMG94VAA_RS02270
1_424: gene-HFMG94VAA_RS04185
1_425: gene-HFMG94VAA_RS02280
1_426: gene-HFMG94VAA_RS02285
1_427: gene-HFMG94VAA_RS02290
1_428: gene-HFMG94VAA_RS02295
1_429: gene-HFMG94VAA_RS02300
1_430: gene-HFMG94VAA_RS02305
1_431: gene-HFMG94VAA_RS02310
1_432: gene-HFMG94VAA_RS02315
1_433: gene-HFMG94VAA_RS02320
1_434: gene-HFMG94VAA_RS02335
1_435: gene-HFMG94VAA_RS02340
1_436: gene-HFMG94VAA_RS02345
1_437: gene-HFMG94VAA_RS02350
1_438: gene-HFMG94VAA_RS02355
1_439: gene-HFMG94VAA_RS04360
1_440: gene-HFMG94VAA_RS02360
1_441: gene-HFMG94VAA_RS02365
1_442: gene-HFMG94VAA_RS02370
1_443: gene-HFMG94VAA_RS02375
1_444: gene-HFMG94VAA_RS02380
1_445: gene-HFMG94VAA_RS02385
1_446: gene-HFMG94VAA_RS02395
1_447: gene-HFMG94VAA_RS02400
1_448: gene-HFMG94VAA_RS02405
1_449: gene-HFMG94VAA_RS02410
1_450: gene-HFMG94VAA_RS02415
1_451: gene-HFMG94VAA_RS02420
1_452: gene-HFMG94VAA_RS02425
1_453: gene-HFMG94VAA_RS02430
1_454: gene-HFMG94VAA_RS02435
1_455: gene-HFMG94VAA_RS02440
1_456: gene-HFMG94VAA_RS02445
1_457: gene-HFMG94VAA_RS02450
1_458: gene-HFMG94VAA_RS02455
1_459: gene-HFMG94VAA_RS02460
1_460: gene-HFMG94VAA_RS02465
1_461: gene-HFMG94VAA_RS04035
1_462: gene-HFMG94VAA_RS02480
1_463: gene-HFMG94VAA_RS02485
1_464: gene-HFMG94VAA_RS02490
1_465: gene-HFMG94VAA_RS02495
1_466: gene-HFMG94VAA_RS02500
1_467: gene-HFMG94VAA_RS02505
1_468: gene-HFMG94VAA_RS02510
1_469: gene-HFMG94VAA_RS02515
1_470: gene-HFMG94VAA_RS02520
1_471: gene-HFMG94VAA_RS02525
1_472: gene-HFMG94VAA_RS02530
1_473: gene-HFMG94VAA_RS02535
1_474: gene-HFMG94VAA_RS02540
1_475: gene-HFMG94VAA_RS02545
1_476: gene-HFMG94VAA_RS02550
1_477: gene-HFMG94VAA_RS02555
1_478: gene-HFMG94VAA_RS02560
1_479: gene-HFMG94VAA_RS02565
1_480: gene-HFMG94VAA_RS02570
1_481: gene-HFMG94VAA_RS02575
1_482: gene-HFMG94VAA_RS02580
1_483: gene-HFMG94VAA_RS02585
1_484: gene-HFMG94VAA_RS02590
1_485: gene-HFMG94VAA_RS02595
1_486: gene-HFMG94VAA_RS02600
1_487: gene-HFMG94VAA_RS02605
1_488: gene-HFMG94VAA_RS02615
1_489: gene-HFMG94VAA_RS02620
1_490: gene-HFMG94VAA_RS02625
1_491: gene-HFMG94VAA_RS02630
1_492: gene-HFMG94VAA_RS02635
1_493: gene-HFMG94VAA_RS02640
1_494: gene-HFMG94VAA_RS02645
1_495: gene-HFMG94VAA_RS02650
1_496: gene-HFMG94VAA_RS02655
1_497: gene-HFMG94VAA_RS02660
1_498: gene-HFMG94VAA_RS02665
1_499: gene-HFMG94VAA_RS02670
1_500: gene-HFMG94VAA_RS02675
1_501: gene-HFMG94VAA_RS02680
1_502: gene-HFMG94VAA_RS02685
1_503: gene-HFMG94VAA_RS02690
1_504: gene-HFMG94VAA_RS02695
1_505: gene-HFMG94VAA_RS02700
1_506: gene-HFMG94VAA_RS02705
1_507: gene-HFMG94VAA_RS02710
1_508: gene-HFMG94VAA_RS02715
1_509: gene-HFMG94VAA_RS02720
1_510: gene-HFMG94VAA_RS02725
1_511: gene-HFMG94VAA_RS02730
1_512: gene-HFMG94VAA_RS02735
1_513: gene-HFMG94VAA_RS02740
1_514: gene-HFMG94VAA_RS02745
1_515: gene-HFMG94VAA_RS02755
1_516: gene-HFMG94VAA_RS02760
1_517: gene-HFMG94VAA_RS02765
1_518: gene-HFMG94VAA_RS02770
1_519: gene-HFMG94VAA_RS02775
1_520: gene-HFMG94VAA_RS02780
1_521: gene-HFMG94VAA_RS02785
1_522: gene-HFMG94VAA_RS02790
1_523: gene-HFMG94VAA_RS02795
1_524: gene-HFMG94VAA_RS02805
1_525: gene-HFMG94VAA_RS02810
1_526: gene-HFMG94VAA_RS02815
1_527: gene-HFMG94VAA_RS02820
1_528: gene-HFMG94VAA_RS02825
1_529: gene-HFMG94VAA_RS02830
1_530: gene-HFMG94VAA_RS04190
1_531: gene-HFMG94VAA_RS02835
1_532: gene-HFMG94VAA_RS02840
1_533: gene-HFMG94VAA_RS02845
1_534: gene-HFMG94VAA_RS02850
1_535: gene-HFMG94VAA_RS02855
1_536: gene-HFMG94VAA_RS02860
1_537: gene-HFMG94VAA_RS02865
1_538: gene-HFMG94VAA_RS02870
1_539: gene-HFMG94VAA_RS02875
1_540: gene-HFMG94VAA_RS02880
1_541: gene-HFMG94VAA_RS02885
1_542: gene-HFMG94VAA_RS02890
1_543: gene-HFMG94VAA_RS02895
1_544: gene-HFMG94VAA_RS02900
1_545: gene-HFMG94VAA_RS02905
1_546: gene-HFMG94VAA_RS02910
1_547: gene-HFMG94VAA_RS02915
1_548: gene-HFMG94VAA_RS02920
1_549: gene-HFMG94VAA_RS02925
1_550: gene-HFMG94VAA_RS02930
1_551: gene-HFMG94VAA_RS02935
1_552: gene-HFMG94VAA_RS02940
1_553: gene-HFMG94VAA_RS02945
1_554: gene-HFMG94VAA_RS02950
1_555: gene-HFMG94VAA_RS02955
1_556: gene-HFMG94VAA_RS04365
1_557: gene-HFMG94VAA_RS02960
1_558: gene-HFMG94VAA_RS02965
1_559: gene-HFMG94VAA_RS02970
1_560: gene-HFMG94VAA_RS02975
1_561: gene-HFMG94VAA_RS02980
1_562: gene-HFMG94VAA_RS02985
1_563: gene-HFMG94VAA_RS02990
1_564: gene-HFMG94VAA_RS02995
1_565: gene-HFMG94VAA_RS03000
1_566: gene-HFMG94VAA_RS03005
1_567: gene-HFMG94VAA_RS03010
1_568: gene-HFMG94VAA_RS03015
1_569: gene-HFMG94VAA_RS03020
1_570: gene-HFMG94VAA_RS03025
1_571: gene-HFMG94VAA_RS03030
1_572: gene-HFMG94VAA_RS03035
1_573: gene-HFMG94VAA_RS03040
1_574: gene-HFMG94VAA_RS03045
1_575: gene-HFMG94VAA_RS03050
1_576: gene-HFMG94VAA_RS03055
1_577: gene-HFMG94VAA_RS03060
1_578: gene-HFMG94VAA_RS03065
1_579: gene-HFMG94VAA_RS04045
1_580: gene-HFMG94VAA_RS03070
1_581: gene-HFMG94VAA_RS03075
1_582: gene-HFMG94VAA_RS03080
1_583: gene-HFMG94VAA_RS03085
1_584: gene-HFMG94VAA_RS03090
1_585: gene-HFMG94VAA_RS03095
1_586: gene-HFMG94VAA_RS04050
1_587: gene-HFMG94VAA_RS03100
1_588: gene-HFMG94VAA_RS03105
1_589: gene-HFMG94VAA_RS03110
1_590: gene-HFMG94VAA_RS03115
1_591: gene-HFMG94VAA_RS03120
1_592: gene-HFMG94VAA_RS03125
1_593: gene-HFMG94VAA_RS03130
1_594: gene-HFMG94VAA_RS03135
1_595: gene-HFMG94VAA_RS03140
1_596: gene-HFMG94VAA_RS03145
1_597: gene-HFMG94VAA_RS03150
1_598: gene-HFMG94VAA_RS03155
1_599: gene-HFMG94VAA_RS03160
1_600: gene-HFMG94VAA_RS03165
1_601: gene-HFMG94VAA_RS03170
1_602: gene-HFMG94VAA_RS03175
1_603: gene-HFMG94VAA_RS03180
1_604: gene-HFMG94VAA_RS03185
1_605: gene-HFMG94VAA_RS03190
1_606: gene-HFMG94VAA_RS03195
1_607: gene-HFMG94VAA_RS03200
1_608: gene-HFMG94VAA_RS03205
1_609: gene-HFMG94VAA_RS03210
1_610: gene-HFMG94VAA_RS03215
1_611: gene-HFMG94VAA_RS03220
1_612: gene-HFMG94VAA_RS03225
1_613: gene-HFMG94VAA_RS03230
1_614: gene-HFMG94VAA_RS03235
1_615: gene-HFMG94VAA_RS03240
1_616: gene-HFMG94VAA_RS03245
1_617: gene-HFMG94VAA_RS03250
1_618: gene-HFMG94VAA_RS03260
1_619: gene-HFMG94VAA_RS03265
1_620: gene-HFMG94VAA_RS03270
1_621: gene-HFMG94VAA_RS04370
1_622: gene-HFMG94VAA_RS03275
1_623: gene-HFMG94VAA_RS03285
1_624: gene-HFMG94VAA_RS03290
1_625: gene-HFMG94VAA_RS03295
1_626: gene-HFMG94VAA_RS03300
1_627: gene-HFMG94VAA_RS03305
1_628: gene-HFMG94VAA_RS03310
1_629: gene-HFMG94VAA_RS03315
1_630: gene-HFMG94VAA_RS03320
1_631: gene-HFMG94VAA_RS03325
1_632: gene-HFMG94VAA_RS03330
1_633: gene-HFMG94VAA_RS03335
1_634: gene-HFMG94VAA_RS03340
1_635: gene-HFMG94VAA_RS03345
1_636: gene-HFMG94VAA_RS03350
1_637: gene-HFMG94VAA_RS03355
1_638: gene-HFMG94VAA_RS03360
1_639: gene-HFMG94VAA_RS03365
1_640: gene-HFMG94VAA_RS03370
1_641: gene-HFMG94VAA_RS03375
1_642: gene-HFMG94VAA_RS03380
1_643: gene-HFMG94VAA_RS03385
1_644: gene-HFMG94VAA_RS03390
1_645: gene-HFMG94VAA_RS03395
1_646: gene-HFMG94VAA_RS03400
1_647: gene-HFMG94VAA_RS03405
1_648: gene-HFMG94VAA_RS03410
1_649: gene-HFMG94VAA_RS03415
1_650: gene-HFMG94VAA_RS03420
1_651: gene-HFMG94VAA_RS03425
1_652: gene-HFMG94VAA_RS03430
1_653: gene-HFMG94VAA_RS03435
1_654: gene-HFMG94VAA_RS03440
1_655: gene-HFMG94VAA_RS03445
1_656: gene-HFMG94VAA_RS04055
1_657: gene-HFMG94VAA_RS03450
1_658: gene-HFMG94VAA_RS03460
1_659: gene-HFMG94VAA_RS03465
1_660: gene-HFMG94VAA_RS03470
1_661: gene-HFMG94VAA_RS03475
1_662: gene-HFMG94VAA_RS03480
1_663: gene-HFMG94VAA_RS03485
1_664: gene-HFMG94VAA_RS03490
1_665: gene-HFMG94VAA_RS03495
1_666: gene-HFMG94VAA_RS03500
1_667: gene-HFMG94VAA_RS03505
1_668: gene-HFMG94VAA_RS03510
1_669: gene-HFMG94VAA_RS03515
1_670: gene-HFMG94VAA_RS03520
1_671: gene-HFMG94VAA_RS03525
1_672: gene-HFMG94VAA_RS03530
1_673: gene-HFMG94VAA_RS03535
1_674: gene-HFMG94VAA_RS04065
1_675: gene-HFMG94VAA_RS03540
1_676: gene-HFMG94VAA_RS03545
1_677: gene-HFMG94VAA_RS03550
1_678: gene-HFMG94VAA_RS03555
1_679: gene-HFMG94VAA_RS03560
1_680: gene-HFMG94VAA_RS03565
1_681: gene-HFMG94VAA_RS03570
1_682: gene-HFMG94VAA_RS03575
1_683: gene-HFMG94VAA_RS03580
1_684: gene-HFMG94VAA_RS03585
1_685: gene-HFMG94VAA_RS03590
1_686: gene-HFMG94VAA_RS03595
1_687: gene-HFMG94VAA_RS03600
1_688: gene-HFMG94VAA_RS03605
1_689: gene-HFMG94VAA_RS03610
1_690: gene-HFMG94VAA_RS03615
1_691: gene-HFMG94VAA_RS03620
1_692: gene-HFMG94VAA_RS03625
1_693: gene-HFMG94VAA_RS03630
1_694: gene-HFMG94VAA_RS03635
1_695: gene-HFMG94VAA_RS03640
1_696: gene-HFMG94VAA_RS03645
1_697: gene-HFMG94VAA_RS03650
1_698: gene-HFMG94VAA_RS03655
1_699: gene-HFMG94VAA_RS03660
1_700: gene-HFMG94VAA_RS03665
1_701: gene-HFMG94VAA_RS03670
1_702: gene-HFMG94VAA_RS03675
1_703: gene-HFMG94VAA_RS03680
1_704: gene-HFMG94VAA_RS03685
1_705: gene-HFMG94VAA_RS03690
1_706: gene-HFMG94VAA_RS03695
1_707: gene-HFMG94VAA_RS03700
1_708: gene-HFMG94VAA_RS03705
1_709: gene-HFMG94VAA_RS03710
1_710: gene-HFMG94VAA_RS03715
1_711: gene-HFMG94VAA_RS03720
1_712: gene-HFMG94VAA_RS03725
1_713: gene-HFMG94VAA_RS03730
1_714: gene-HFMG94VAA_RS03735
1_715: gene-HFMG94VAA_RS04375
1_716: gene-HFMG94VAA_RS04380
1_717: gene-HFMG94VAA_RS04385
1_718: gene-HFMG94VAA_RS04390
1_719: gene-HFMG94VAA_RS03755
1_720: gene-HFMG94VAA_RS04395
1_721: gene-HFMG94VAA_RS04400
1_722: gene-HFMG94VAA_RS03770
1_723: gene-HFMG94VAA_RS04195
1_724: gene-HFMG94VAA_RS03775
1_725: gene-HFMG94VAA_RS04200
1_726: gene-HFMG94VAA_RS03780
1_727: gene-HFMG94VAA_RS03790
1_728: gene-HFMG94VAA_RS03795
1_729: gene-HFMG94VAA_RS03800
1_730: gene-HFMG94VAA_RS03805
1_731: gene-HFMG94VAA_RS03810
1_732: gene-HFMG94VAA_RS04320
1_733: gene-HFMG94VAA_RS04210
1_734: gene-HFMG94VAA_RS03820
1_735: gene-HFMG94VAA_RS04405
1_736: gene-HFMG94VAA_RS04325
1_737: gene-HFMG94VAA_RS03830
1_738: gene-HFMG94VAA_RS03835
1_739: gene-HFMG94VAA_RS03840
1_740: gene-HFMG94VAA_RS03845
1_741: gene-HFMG94VAA_RS03850
1_742: gene-HFMG94VAA_RS03855
1_743: gene-HFMG94VAA_RS03860
1_744: gene-HFMG94VAA_RS03865
1_745: gene-HFMG94VAA_RS03870
1_746: gene-HFMG94VAA_RS03875
1_747: gene-HFMG94VAA_RS03880
1_748: gene-HFMG94VAA_RS03885
1_749: gene-HFMG94VAA_RS03890
1_750: gene-HFMG94VAA_RS03895
1_751: gene-HFMG94VAA_RS03900
1_752: gene-HFMG94VAA_RS03905
1_753: gene-HFMG94VAA_RS03910
1_754: gene-HFMG94VAA_RS03915
1_755: gene-HFMG94VAA_RS03920
2_0: gene-MHP168L_RS00005
2_1: gene-MHP168L_RS00010
2_2: gene-MHP168L_RS00015
2_3: gene-MHP168L_RS00020
2_4: gene-MHP168L_RS00025
2_5: gene-MHP168L_RS00030
2_6: gene-MHP168L_RS00035
2_7: gene-MHP168L_RS00040
2_8: gene-MHP168L_RS00045
2_9: gene-MHP168L_RS00050
2_10: gene-MHP168L_RS00055
2_11: gene-MHP168L_RS00060
2_12: gene-MHP168L_RS00065
2_13: gene-MHP168L_RS00070
2_14: gene-MHP168L_RS00075
2_15: gene-MHP168L_RS00080
2_16: gene-MHP168L_RS00085
2_17: gene-MHP168L_RS00090
2_18: gene-MHP168L_RS00100
2_19: gene-MHP168L_RS00105
2_20: gene-MHP168L_RS00110
2_21: gene-MHP168L_RS00115
2_22: gene-MHP168L_RS00120
2_23: gene-MHP168L_RS00125
2_24: gene-MHP168L_RS00130
2_25: gene-MHP168L_RS00135
2_26: gene-MHP168L_RS00140
2_27: gene-MHP168L_RS00145
2_28: gene-MHP168L_RS00150
2_29: gene-MHP168L_RS00155
2_30: gene-MHP168L_RS00160
2_31: gene-MHP168L_RS03905
2_32: gene-MHP168L_RS00170
2_33: gene-MHP168L_RS03690
2_34: gene-MHP168L_RS00175
2_35: gene-MHP168L_RS00180
2_36: gene-MHP168L_RS00185
2_37: gene-MHP168L_RS00190
2_38: gene-MHP168L_RS00195
2_39: gene-MHP168L_RS00200
2_40: gene-MHP168L_RS00205
2_41: gene-MHP168L_RS00210
2_42: gene-MHP168L_RS00220
2_43: gene-MHP168L_RS00225
2_44: gene-MHP168L_RS00230
2_45: gene-MHP168L_RS00235
2_46: gene-MHP168L_RS00240
2_47: gene-MHP168L_RS00245
2_48: gene-MHP168L_RS00250
2_49: gene-MHP168L_RS00255
2_50: gene-MHP168L_RS00260
2_51: gene-MHP168L_RS00265
2_52: gene-MHP168L_RS00270
2_53: gene-MHP168L_RS00275
2_54: gene-MHP168L_RS00280
2_55: gene-MHP168L_RS00285
2_56: gene-MHP168L_RS00290
2_57: gene-MHP168L_RS00295
2_58: gene-MHP168L_RS00300
2_59: gene-MHP168L_RS00305
2_60: gene-MHP168L_RS00310
2_61: gene-MHP168L_RS00315
2_62: gene-MHP168L_RS00320
2_63: gene-MHP168L_RS00325
2_64: gene-MHP168L_RS00330
2_65: gene-MHP168L_RS00335
2_66: gene-MHP168L_RS00340
2_67: gene-MHP168L_RS00345
2_68: gene-MHP168L_RS00350
2_69: gene-MHP168L_RS00355
2_70: gene-MHP168L_RS00360
2_71: gene-MHP168L_RS00365
2_72: gene-MHP168L_RS00370
2_73: gene-MHP168L_RS00375
2_74: gene-MHP168L_RS00380
2_75: gene-MHP168L_RS00385
2_76: gene-MHP168L_RS00390
2_77: gene-MHP168L_RS00395
2_78: gene-MHP168L_RS00400
2_79: gene-MHP168L_RS00405
2_80: gene-MHP168L_RS00410
2_81: gene-MHP168L_RS00415
2_82: gene-MHP168L_RS03845
2_83: gene-MHP168L_RS00425
2_84: gene-MHP168L_RS00475
2_85: gene-MHP168L_RS00480
2_86: gene-MHP168L_RS00485
2_87: gene-MHP168L_RS00490
2_88: gene-MHP168L_RS00495
2_89: gene-MHP168L_RS00500
2_90: gene-MHP168L_RS00505
2_91: gene-MHP168L_RS00510
2_92: gene-MHP168L_RS00515
2_93: gene-MHP168L_RS00520
2_94: gene-MHP168L_RS00525
2_95: gene-MHP168L_RS00535
2_96: gene-MHP168L_RS00540
2_97: gene-MHP168L_RS00545
2_98: gene-MHP168L_RS00550
2_99: gene-MHP168L_RS03910
2_100: gene-MHP168L_RS00555
2_101: gene-MHP168L_RS00560
2_102: gene-MHP168L_RS00565
2_103: gene-MHP168L_RS00570
2_104: gene-MHP168L_RS00575
2_105: gene-MHP168L_RS00580
2_106: gene-MHP168L_RS00585
2_107: gene-MHP168L_RS00590
2_108: gene-MHP168L_RS00595
2_109: gene-MHP168L_RS00600
2_110: gene-MHP168L_RS00605
2_111: gene-MHP168L_RS00610
2_112: gene-MHP168L_RS00615
2_113: gene-MHP168L_RS00620
2_114: gene-MHP168L_RS00625
2_115: gene-MHP168L_RS00630
2_116: gene-MHP168L_RS00635
2_117: gene-MHP168L_RS00640
2_118: gene-MHP168L_RS00645
2_119: gene-MHP168L_RS00650
2_120: gene-MHP168L_RS00655
2_121: gene-MHP168L_RS00660
2_122: gene-MHP168L_RS00665
2_123: gene-MHP168L_RS00670
2_124: gene-MHP168L_RS00675
2_125: gene-MHP168L_RS00680
2_126: gene-MHP168L_RS00685
2_127: gene-MHP168L_RS00690
2_128: gene-MHP168L_RS00695
2_129: gene-MHP168L_RS00700
2_130: gene-MHP168L_RS00705
2_131: gene-MHP168L_RS03705
2_132: gene-MHP168L_RS00710
2_133: gene-MHP168L_RS00715
2_134: gene-MHP168L_RS00720
2_135: gene-MHP168L_RS00725
2_136: gene-MHP168L_RS00730
2_137: gene-MHP168L_RS00735
2_138: gene-MHP168L_RS00740
2_139: gene-MHP168L_RS00745
2_140: gene-MHP168L_RS00750
2_141: gene-MHP168L_RS00755
2_142: gene-MHP168L_RS00760
2_143: gene-MHP168L_RS00765
2_144: gene-MHP168L_RS00775
2_145: gene-MHP168L_RS00780
2_146: gene-MHP168L_RS00785
2_147: gene-MHP168L_RS00790
2_148: gene-MHP168L_RS00795
2_149: gene-MHP168L_RS00800
2_150: gene-MHP168L_RS00805
2_151: gene-MHP168L_RS00810
2_152: gene-MHP168L_RS00815
2_153: gene-MHP168L_RS00820
2_154: gene-MHP168L_RS03850
2_155: gene-MHP168L_RS00830
2_156: gene-MHP168L_RS00835
2_157: gene-MHP168L_RS00840
2_158: gene-MHP168L_RS00845
2_159: gene-MHP168L_RS00850
2_160: gene-MHP168L_RS00860
2_161: gene-MHP168L_RS00865
2_162: gene-MHP168L_RS00870
2_163: gene-MHP168L_RS00875
2_164: gene-MHP168L_RS00880
2_165: gene-MHP168L_RS00885
2_166: gene-MHP168L_RS00890
2_167: gene-MHP168L_RS00900
2_168: gene-MHP168L_RS00905
2_169: gene-MHP168L_RS00910
2_170: gene-MHP168L_RS00915
2_171: gene-MHP168L_RS00920
2_172: gene-MHP168L_RS00925
2_173: gene-MHP168L_RS00930
2_174: gene-MHP168L_RS00935
2_175: gene-MHP168L_RS00940
2_176: gene-MHP168L_RS00945
2_177: gene-MHP168L_RS00950
2_178: gene-MHP168L_RS00955
2_179: gene-MHP168L_RS00960
2_180: gene-MHP168L_RS00965
2_181: gene-MHP168L_RS00970
2_182: gene-MHP168L_RS00975
2_183: gene-MHP168L_RS03915
2_184: gene-MHP168L_RS03920
2_185: gene-MHP168L_RS04075
2_186: gene-MHP168L_RS00985
2_187: gene-MHP168L_RS00990
2_188: gene-MHP168L_RS01000
2_189: gene-MHP168L_RS01005
2_190: gene-MHP168L_RS03795
2_191: gene-MHP168L_RS01010
2_192: gene-MHP168L_RS01015
2_193: gene-MHP168L_RS01030
2_194: gene-MHP168L_RS01035
2_195: gene-MHP168L_RS01045
2_196: gene-MHP168L_RS01050
2_197: gene-MHP168L_RS01055
2_198: gene-MHP168L_RS01060
2_199: gene-MHP168L_RS01070
2_200: gene-MHP168L_RS01075
2_201: gene-MHP168L_RS01080
2_202: gene-MHP168L_RS01085
2_203: gene-MHP168L_RS01090
2_204: gene-MHP168L_RS01095
2_205: gene-MHP168L_RS01100
2_206: gene-MHP168L_RS01105
2_207: gene-MHP168L_RS01110
2_208: gene-MHP168L_RS01115
2_209: gene-MHP168L_RS01120
2_210: gene-MHP168L_RS01125
2_211: gene-MHP168L_RS01130
2_212: gene-MHP168L_RS01140
2_213: gene-MHP168L_RS01145
2_214: gene-MHP168L_RS01150
2_215: gene-MHP168L_RS01155
2_216: gene-MHP168L_RS01160
2_217: gene-MHP168L_RS01165
2_218: gene-MHP168L_RS03925
2_219: gene-MHP168L_RS01175
2_220: gene-MHP168L_RS01180
2_221: gene-MHP168L_RS01185
2_222: gene-MHP168L_RS01190
2_223: gene-MHP168L_RS01195
2_224: gene-MHP168L_RS01200
2_225: gene-MHP168L_RS01205
2_226: gene-MHP168L_RS01210
2_227: gene-MHP168L_RS01215
2_228: gene-MHP168L_RS01220
2_229: gene-MHP168L_RS01225
2_230: gene-MHP168L_RS01235
2_231: gene-MHP168L_RS01240
2_232: gene-MHP168L_RS01245
2_233: gene-MHP168L_RS01250
2_234: gene-MHP168L_RS01255
2_235: gene-MHP168L_RS03930
